Company,Size,CEO,CEO email,Site,LI,Industry,Industry2,Address,City,State,Zip,Added,,,
Railinc,200-500,Allen West,,www.railinc.com,https://www.linkedin.com/company/railinc,SaaS,Transportation,7001 Weston Pkwy,Cary,NC,27513,2016,,,
Real Magic,10-20,Jesse Lipson,,https://www.levitate.ai,https://www.linkedin.com/company/real-magic/about/,,,,,,,2019,,,
Realvolve? (it's on list for now),,,,,,,,,,,,,,,
Remarque Systems,12,Badhri Srinivasan,,remarquesystems.com,https://www.linkedin.com/company/10078118/,,,,,,,2018,,,
Republic Wireless,150,Chris Chuang,,republicwireless.com,https://www.linkedin.com/company/8490419/,,,,,,,2018,,,
Restaurant Furniture Plus,10-20,George Deeb,,http://www.restaurantfurnitureplus.com,https://www.linkedin.com/company/restaurantfurnitureplus/,,,,,,,2019,,,
Revboss,10-50,Eric Boggs,,www.revboss.com,https://www.linkedin.com/company/revboss,MarTech,Business Services,201 W Main St,Durham,NC,27707,2016,,,
Revealmobile,10-50,Brian Handly,,www.revealmobile.com,https://www.linkedin.com/company/reveal---mobile-audience-insights,AdTech,Local,819 W Hargett St.,Raleigh,NC,27603,2016,,,
ReverbNation,50-200,Michael Doernberg,,www.reverbnation.com,https://www.linkedin.com/company/reverbnation,MarTech,MusicianTech,115 N Duke St.,Durham,NC,27701,2016,,,
RewardStock,,,,,,,,,,,,2019,,,
ROI Revolution,50-200,Timothy Seward,,www.roirevolution.com,https://www.linkedin.com/company/roi-revolution-inc.,AdTech,,5510 Six Forks Rd.,Raleigh,NC,27609,2016,,,
Roobrik,10-20,Nate O'Keefe,,http://www.roobrik.com,https://www.linkedin.com/company/roobrik/,,,,,,,2019,,,
Samanage,50-200,Doron Gordon,,www.samanage.com,https://www.linkedin.com/company/samanage,SaaS,Business Services,117 Edinburgh South,Cary,NC,27511,2016,,,
Seal Innovation,10-50,Graham Snyder,,www.sealswimsafe.com,https://www.linkedin.com/company/seal-innovation-inc,IoT,,410 N Boylan Ave,Raleigh,NC,27603,2016,,,
ServiceTrade,10-50,Billy Marshall,,www.servicetrade.com,https://www.linkedin.com/company/servicetrade,SaaS,Business Services,4601 Creekstone Dr.,Durham,NC,27703,2016,,,
Shark Dreams,20-50,Dharma Nukarapu,,http://www.sharkdreams.co,https://www.linkedin.com/company/sharkdreamsco/,,,,,,,2019,,,
ShiftWizard,,,,,,,,,,,,2017,,,
Sift,12,Jud Bowman,,sift.co,https://www.linkedin.com/company/10396178/,,,,,,,2018,,,
SignalPath,,,,,,,,,,,,2017,,,
Silbo,10-20,Brendan Szulik,,http://www.gosilbo.com,https://www.linkedin.com/company/gosilbo/about/,,,,,,,2019,,,
Slingshot Coffee Company,10,Jenny Bonchak,,slingshotcoffeecompany.com,,,,,,,,2018,,,
